station_number,description,active,rpw_flag,station_type_id,longitude,latitude,nmfs_area_code,area_code,geographic_area_name,habitat_type,inpfc_area,council_management_area,council_sablefish_management_area,region,fmp_management_area,akfin_load_date
1,NA,1,1,1,58.778333333333336,-177.575,523,6,Bering 4 slope,Upper continental slope,Bering IV,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
2,NA,1,1,1,58.62,-176.64166666666668,521,6,Bering 4 slope,Upper continental slope,Bering IV,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
3,NA,0,1,1,58.963,-176.01,521,6,Bering 4 slope,Upper continental slope,Bering IV,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
4,NA,1,1,1,58.49666666666667,-175.67,521,6,Bering 4 slope,Upper continental slope,Bering IV,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
5,NA,0,1,1,58.64,-174.5,521,6,Bering 4 slope,Upper continental slope,Bering IV,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
6,NA,1,1,1,58.333333333333336,-174.31166666666667,521,6,Bering 4 slope,Upper continental slope,Bering IV,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
7,NA,0,1,1,58.02,-173.8,521,7,Bering 3 slope,Upper continental slope,Bering III,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
8,NA,1,1,1,57.62833333333333,-174.165,521,7,Bering 3 slope,Upper continental slope,Bering III,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
9,NA,0,1,1,57.15,-173.4,523,7,Bering 3 slope,Upper continental slope,Bering III,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
10,NA,1,1,1,56.82833333333333,-173.37833333333333,523,7,Bering 3 slope,Upper continental slope,Bering III,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
11,NA,0,1,1,56.68,-172.1,523,7,Bering 3 slope,Upper continental slope,Bering III,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
12,NA,1,1,1,56.626666666666665,-172.35333333333332,523,7,Bering 3 slope,Upper continental slope,Bering III,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
13,NA,1,1,1,56.46666666666667,-171.45166666666665,521,7,Bering 3 slope,Upper continental slope,Bering III,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
14,NA,0,1,1,56.38,-171.3,523,7,Bering 3 slope,Upper continental slope,Bering III,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
15,NA,1,1,1,56.14666666666667,-170.73166666666665,521,7,Bering 3 slope,Upper continental slope,Bering III,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
16,NA,0,1,1,56.12,-169.8,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
17,NA,1,1,1,56.038333333333334,-169.61833333333334,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
18,NA,1,1,1,56.24333333333333,-169.17166666666665,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
19,NA,0,1,1,56.03,-168.5,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
20,NA,1,1,1,55.06,-168.80166666666668,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
21,NA,0,1,1,55.63,-168.2,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
22,NA,1,1,1,55.458333333333336,-168.0035,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
23,NA,0,1,1,54.06,-167.01,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
24,NA,0,1,1,54.95,-167.15,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
25,NA,0,1,1,54.85,-167.3,518,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
26,NA,0,1,1,54.5,-167.1,518,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
27,NA,0,1,1,54.66,-166.4,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
28,NA,0,1,1,54.795,-166.4,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
29,NA,0,1,1,54.9,-166.04,517,8,Bering 2 slope,Upper continental slope,Bering II,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
30,NA,0,1,1,54.44,-165.6,519,9,Bering 1 slope,Upper continental slope,Bering I,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
31,NA,0,1,1,54.11,-166.4,519,9,Bering 1 slope,Upper continental slope,Bering I,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
32,NA,1,1,1,53.77166666666667,-167.33,518,9,Bering 1 slope,Upper continental slope,Bering I,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
33,NA,1,1,1,53.611666666666665,-168.29833333333335,518,9,Bering 1 slope,Upper continental slope,Bering I,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
34,NA,1,1,1,53.305,-168.89833333333334,518,9,Bering 1 slope,Upper continental slope,Bering I,Bering Sea,Bering Sea,Eastern  Bering Sea,BSAI,2023-09-12T12:24:51Z
