geographic_area_name,country,year,species_code,rpn
Bering 3 slope,United States,1997,20510,6564.089124753862
Bering 4 slope,United States,1997,20510,2033.8567702849477
Bering 1 slope,United States,1997,20510,11525.962007151347
Bering 2 slope,United States,1997,20510,22906.958267562655
Bering 4 slope,United States,1999,20510,1597.2954930231022
Bering 1 slope,United States,1999,20510,15920.370779722334
Bering 2 slope,United States,1999,20510,27069.42895255679
Bering 3 slope,United States,1999,20510,2784.177619056633
Bering 1 slope,United States,2001,20510,22542.375771644274
Bering 2 slope,United States,2001,20510,56647.545451513724
Bering 3 slope,United States,2001,20510,4635.069370509358
Bering 4 slope,United States,2001,20510,1206.3976859960744
Bering 1 slope,United States,2003,20510,12051.96588586386
Bering 2 slope,United States,2003,20510,44944.66945383744
Bering 4 slope,United States,2003,20510,5250.513996723959
Bering 3 slope,United States,2003,20510,7540.125467422102
Bering 2 slope,United States,2005,20510,57065.975217444284
Bering 1 slope,United States,2005,20510,36133.4451327655
Bering 3 slope,United States,2005,20510,5933.342649272332
Bering 4 slope,United States,2005,20510,4433.764753093508
Bering 2 slope,United States,2007,20510,58708.91820697824
Bering 1 slope,United States,2007,20510,29703.51463849504
Bering 3 slope,United States,2007,20510,9166.356024699284
Bering 4 slope,United States,2007,20510,644.1006249222734
Bering 4 slope,United States,2009,20510,1748.1921093308722
Bering 2 slope,United States,2009,20510,6083.740180551156
Bering 3 slope,United States,2009,20510,5046.74727287685
Bering 1 slope,United States,2009,20510,8508.558183672518
Bering 4 slope,United States,2011,20510,1094.7746035133223
Bering 1 slope,United States,2011,20510,13850.532166190298
Bering 2 slope,United States,2011,20510,16165.358305851154
Bering 3 slope,United States,2011,20510,2125.886951853927
Bering 2 slope,United States,2013,20510,71850.82586065169
Bering 1 slope,United States,2013,20510,16248.094690367627
Bering 4 slope,United States,2013,20510,2280.0459340552584
Bering 3 slope,United States,2013,20510,3694.1930959524448
Bering 1 slope,United States,2015,20510,21128.566662133042
Bering 3 slope,United States,2015,20510,2860.365649861815
Bering 4 slope,United States,2015,20510,1726.8473429538467
Bering 2 slope,United States,2015,20510,22056.470085270324
Bering 2 slope,United States,2017,20510,53125.130970292135
Bering 1 slope,United States,2017,20510,45838.180895213685
Bering 4 slope,United States,2017,20510,4271.338884369127
Bering 3 slope,United States,2017,20510,3946.4898622916126
Bering 4 slope,United States,2019,20510,32433.29665334223
Bering 1 slope,United States,2019,20510,46002.86843436287
Bering 2 slope,United States,2019,20510,123760.94333900402
Bering 3 slope,United States,2019,20510,33199.8116062212
Bering 1 slope,United States,2021,20510,99791.64126470593
Bering 3 slope,United States,2021,20510,84701.21282239395
Bering 2 slope,United States,2021,20510,201141.55569636088
Bering 4 slope,United States,2021,20510,30138.55867037085
Bering 2 slope,United States,2023,20510,272352.19754994375
Bering 1 slope,United States,2023,20510,40697.92003897228
Bering 4 slope,United States,2023,20510,59040.033409466836
Bering 3 slope,United States,2023,20510,112426.61664319018
