fmp_subarea,complex,year,Discarded,Retained,Total,Discard Rate
AI,non-SST,2003,156.67492079357643,103.68161863896827,260.3565394325447,60.17706378147996
AI,non-SST,2004,158.12955503648652,112.71624087726698,270.8457959137535,58.38361068260419
AI,non-SST,2005,85.87619925458598,117.59984534769875,203.47604460228473,42.204574706786744
AI,non-SST,2006,158.27987706711494,144.65531937696002,302.93519644407496,52.24875779541024
AI,non-SST,2007,194.35229977117174,119.12024194028358,313.47254171145534,61.99978432243958
AI,non-SST,2008,107.56472854667571,167.02472703521653,274.58945558189225,39.17292756880685
AI,non-SST,2009,100.89816886597356,139.644436773592,240.54260563956555,41.94606963606341
AI,non-SST,2010,100.2747362201486,242.5259729465068,342.8007091666554,29.251612828898555
AI,non-SST,2011,101.59378752286815,362.2502062442135,463.84399376708166,21.90257691983466
AI,non-SST,2012,82.73740774858916,457.56525986315495,540.3026676117441,15.313159217648616
AI,non-SST,2013,103.63743093873974,267.03186990509363,370.66930084383335,27.959539865537238
AI,non-SST,2014,60.77656886308442,325.73292115391337,386.5094900169978,15.72447001506007
AI,non-SST,2015,52.983099011848786,294.40490680856107,347.38800582040983,15.251850416286281
AI,non-SST,2016,20.332135971500943,356.3022413265393,376.6343772980402,5.398374975052162
AI,non-SST,2017,88.0509728297588,380.49161933861166,468.54259216837045,18.792522665285837
AI,non-SST,2018,189.50436213282464,495.05632928184775,684.5606914146724,27.682623981988534
AI,non-SST,2019,210.065725809538,224.89524208493197,434.96096789446995,48.29530493883398
AI,non-SST,2020,288.91807082427897,264.6542845452088,553.5723553694877,52.19156412379689
AI,non-SST,2021,235.64244854938633,209.08095914300256,444.7234076923889,52.98629315963015
AI,non-SST,2022,251.35741280507762,246.83723440993958,498.1946472150172,50.45365585724441
AI,non-SST,2023,201.50774850521358,226.7300728219346,428.2378213271482,47.05510313888732
AI,non-SST,2024,79.6070576066,235.3440882825,314.95114588909996,25.276001896062667
AI,SST,2003,30.660079206423553,98.63138136103173,129.2914605674553,23.713924393658818
AI,SST,2004,7.629444963513485,52.69675912273301,60.3262040862465,12.646983311938383
AI,SST,2005,9.465800745414013,68.61015465230126,78.07595539771528,12.123835945645064
AI,SST,2006,18.240122932885072,100.43868062303999,118.67880355592506,15.369318181818182
AI,SST,2007,23.30970022882827,92.56975805971642,115.8794582885447,20.115472209738968
AI,SST,2008,6.226271453324294,101.18227296478348,107.40854441810777,5.79681205723017
AI,SST,2009,15.573831134026443,116.17156322640803,131.74539436043446,11.82115793089428
AI,SST,2010,24.006004245551402,130.78852218129316,154.79452642684456,15.508303038671443
AI,SST,2011,41.485061978431844,111.41058674548653,152.89564872391838,27.132925184379094
AI,SST,2012,15.71138544391083,155.43115378264505,171.1425392265559,9.180292354498922
AI,SST,2013,48.146273086860255,178.02944970440635,226.1757227912666,21.28710919663715
AI,SST,2014,86.41968207111557,115.92937369578665,202.3490557669022,42.70822107055814
AI,SST,2015,12.507804506451214,107.20612094453891,119.71392545099012,10.448078165786825
AI,SST,2016,21.164124022599054,92.37522940976072,113.53935343235977,18.640342209811354
AI,SST,2017,14.2372213672412,85.39458396968836,99.63180533692956,14.289835779944484
AI,SST,2018,7.288641860775347,82.95738071305227,90.24602257382762,8.07641340072658
AI,SST,2019,44.526182567161975,90.45672680966806,134.98290937683004,32.98653346021666
AI,SST,2020,105.06699502232105,80.9105507503912,185.97754577271223,56.494451835989935
AI,SST,2021,41.078480979813676,123.38378070459743,164.4622616844111,24.977451093698168
AI,SST,2022,70.43453432662238,88.66176873126041,159.09630305788278,44.27163483553526
AI,SST,2023,71.37929956938643,69.80095106216538,141.18025063155181,50.55898346268707
AI,SST,2024,19.0490396549,88.05150198,107.1005416349,17.786128215707027
EBS,non-SST,2003,36.52063350827691,39.53632634188657,76.05695985016348,48.01747740144311
EBS,non-SST,2004,43.94561973801637,33.691610554440274,77.63723029245665,56.60379636480436
EBS,non-SST,2005,17.069763686790285,45.209785218563304,62.27954890535359,27.408296923812426
EBS,non-SST,2006,19.823754511807937,40.06402689452758,59.88778140633552,33.101500917699354
EBS,non-SST,2007,39.22737505556345,14.728805114491779,53.95618017005523,72.70228346767583
EBS,non-SST,2008,18.208784774617882,17.16845939718418,35.37724417180206,51.47033128468343
EBS,non-SST,2009,6.7870642454750785,8.920247700545504,15.707311946020582,43.20958461129034
EBS,non-SST,2010,42.48943825161973,25.59333810074089,68.08277635236063,62.408498195955985
EBS,non-SST,2011,31.67427845680568,38.80187612561009,70.47615458241577,44.94325583522772
EBS,non-SST,2012,34.335511383314,38.776336818508476,73.11184820182248,46.96299194698529
EBS,non-SST,2013,32.39013076331498,17.140282724290714,49.53041348760569,65.3944283574781
EBS,non-SST,2014,46.428857444019336,31.63047510154022,78.05933254555956,59.478932153206664
EBS,non-SST,2015,55.8135725162216,28.270552957845652,84.08412547406725,66.37825178241916
EBS,non-SST,2016,37.85307989243468,30.188317712825395,68.04139760526007,55.63242558895993
EBS,non-SST,2017,27.240906454607686,21.682257123950322,48.923163578558004,55.680999473523016
EBS,non-SST,2018,42.71209563442392,20.03434555754969,62.7464411919736,68.07094525687229
EBS,non-SST,2019,35.973093039985294,67.90084046647819,103.87393350646349,34.63149206508762
EBS,non-SST,2020,64.61657931717141,42.63087089240993,107.24745020958134,60.24999120342598
EBS,non-SST,2021,42.7478881331171,38.55862383558568,81.30651196870278,52.57621695734777
EBS,non-SST,2022,69.22409717714113,75.55825193048217,144.7823491076233,47.812525217202904
EBS,non-SST,2023,77.93486323831242,68.34770009806512,146.28256333637754,53.276932985581325
EBS,non-SST,2024,40.09062308071113,76.85797901675629,116.94860209746741,34.28054919997997
EBS,SST,2003,7.770366491723087,211.17167365811343,218.94204014983652,3.5490518341773516
EBS,SST,2004,28.636380261983636,195.62538944555973,224.26176970754338,12.769176083524151
EBS,SST,2005,3.9562363132097125,99.01421478143669,102.9704510946464,3.8421083632753006
EBS,SST,2006,6.467245488192063,82.49197310547241,88.95921859366447,7.2698991632696845
EBS,SST,2007,34.04362494443655,129.0621948855082,163.10581982994475,20.872109272330484
EBS,SST,2008,52.186215225382114,126.77554060281582,178.96175582819794,29.16054046512626
EBS,SST,2009,16.21493575452492,161.3997522994545,177.61468805397942,9.129276374708937
EBS,SST,2010,23.095595454380266,177.0845729654591,200.18016841983936,11.537404347638326
EBS,SST,2011,18.34845813709432,239.6230797844899,257.97153792158423,7.112590127160351
EBS,SST,2012,9.863046144485997,124.59536894909152,134.45841509357751,7.335387775931855
EBS,SST,2013,14.211424157185021,128.4455445559093,142.65696871309433,9.961955791845288
EBS,SST,2014,21.06225687568066,224.80077879005978,245.86303566574043,8.566662661855176
EBS,SST,2015,11.647892427678403,88.12336986875434,99.77126229643274,11.674596631914987
EBS,SST,2016,47.038830797065316,163.0532005542746,210.09203135133993,22.38963110333376
EBS,SST,2017,30.30910952289231,180.59190653854967,210.90101606144196,14.37124869709605
EBS,SST,2018,17.37114556477608,131.2758631794503,148.64700874422638,11.686172302778203
EBS,SST,2019,125.0944469331147,474.5959468038218,599.6903937369365,20.859838383202337
EBS,SST,2020,34.22072611782858,213.53390707049007,247.75463318831865,13.812345576527468
EBS,SST,2021,46.7618712350829,263.7368816469143,310.4987528819972,15.060244461868875
EBS,SST,2022,132.05061755115887,374.3567480212178,506.40736557237665,26.075967003739393
EBS,SST,2023,186.3500202423876,320.5710608174349,506.9210810598225,36.76115024705318
EBS,SST,2024,98.93459535138886,487.4413788998437,586.3759742512326,16.87221163481715
