year,AI,EBS Shelf,EBS Slope,SBS
1982,NA,"4,904 (1)",NA,NA
1983,NA,0 (NA),NA,NA
1984,NA,34 (0.71),NA,NA
1985,NA,40 (0.9),NA,NA
1986,NA,22 (1),NA,NA
1987,NA,49 (1),NA,NA
1988,NA,0 (NA),NA,NA
1989,NA,0 (NA),NA,NA
1990,NA,370 (0.79),NA,NA
1991,518 (0.36),851 (0.93),NA,61 (0.83)
1992,NA,173 (0.92),NA,NA
1993,NA,86 (1),NA,NA
1994,225 (0.58),47 (1),NA,101 (0.49)
1995,NA,74 (0.7),NA,NA
1996,NA,35 (1),NA,NA
1997,644 (0.68),127 (1),NA,138 (0.46)
1998,NA,527 (0.68),NA,NA
1999,NA,390 (0.75),NA,NA
2000,"1,276 (0.33)",0 (NA),NA,56 (0.36)
2001,NA,0 (NA),NA,NA
2002,558 (0.31),0 (NA),38 (0.42),99 (0.36)
2003,NA,54 (0.7),NA,NA
2004,"1,240 (0.41)",0 (NA),32 (0.35),"5,530 (0.78)"
2005,NA,36 (1),NA,NA
2006,"6,005 (0.88)",351 (0.84),NA,738 (0.95)
2007,NA,0 (NA),NA,NA
2008,NA,0 (NA),27 (0.45),NA
2009,NA,120 (0.58),NA,NA
2010,611 (0.31),57 (0.92),147 (0.7),120 (0.44)
2011,NA,55 (1),NA,NA
2012,250 (0.3),36 (1),52 (0.49),135 (0.57)
2013,NA,39 (1),NA,NA
2014,"5,645 (0.81)",28 (1),NA,232 (0.5)
2015,NA,142 (1),NA,NA
2016,"1,773 (0.33)",20 (1),31 (0.33),218 (0.54)
2017,NA,170 (0.73),NA,NA
2018,914 (0.32),"1,562 (0.7)",NA,"1,639 (0.77)"
2019,NA,0 (NA),NA,NA
2020,NA,NA,NA,NA
2021,NA,0 (NA),NA,NA
2022,"1,506 (0.48)",43 (1),NA,299 (0.39)
2023,NA,168 (0.97),NA,NA
2024,"1,475 (0.31)",196 (0.61),NA,"1,973 (0.53)"
